property                             object                      type        
get_parent                           Clutter_Actor               function    
get_pivot_point                      Clutter_Actor               function    
get_pivot_point_z                    Clutter_Actor               function    
get_position                         Clutter_Actor               function    
get_preferred_height                 Clutter_Actor               function    
get_preferred_size                   Clutter_Actor               function    
get_preferred_width                  Clutter_Actor               function    
get_previous_sibling                 Clutter_Actor               function    
get_reactive                         Clutter_Actor               function    
get_request_mode                     Clutter_Actor               function    
get_resource_scale                   Clutter_Actor               function    
get_rotation_angle                   Clutter_Actor               function    
get_scale                            Clutter_Actor               function    
get_scale_z                          Clutter_Actor               function    
get_size                             Clutter_Actor               function    
get_stage                            Clutter_Actor               function    
get_text_direction                   Clutter_Actor               function    
get_transform                        Clutter_Actor               function    
get_transformed_extents              Clutter_Actor               function    
get_transformed_paint_volume         Clutter_Actor               function    
get_transformed_position             Clutter_Actor               function    
get_transformed_size                 Clutter_Actor               function    
get_transition                       Clutter_Actor               function    
get_translation                      Clutter_Actor               function    
get_width                            Clutter_Actor               function    
get_x                                Clutter_Actor               function    
get_x_align                          Clutter_Actor               function    
get_x_expand                         Clutter_Actor               function    
get_y                                Clutter_Actor               function    
get_y_align                          Clutter_Actor               function    
get_y_expand                         Clutter_Actor               function    
get_z_position                       Clutter_Actor               function    
grab_key_focus                       Clutter_Actor               function    
has_accessible                       Clutter_Actor               function    
has_actions                          Clutter_Actor               function    
has_allocation                       Clutter_Actor               function    
has_clip                             Clutter_Actor               function    
has_constraints                      Clutter_Actor               function    
has_damage                           Clutter_Actor               function    
has_effects                          Clutter_Actor               function    
has_key_focus                        Clutter_Actor               function    
has_mapped_clones                    Clutter_Actor               function    
has_overlaps                         Clutter_Actor               function    
has_pointer                          Clutter_Actor               function    
height                               Clutter_Actor               function    
hide                                 Clutter_Actor               function    
inhibit_culling                      Clutter_Actor               function    
insert_child_above                   Clutter_Actor               function    
insert_child_at_index                Clutter_Actor               function    
insert_child_below                   Clutter_Actor               function    
interpolate_value                    Clutter_Actor               function    
invalidate_transform                 Clutter_Actor               function    
is_effectively_on_stage_view         Clutter_Actor               function    
is_in_clone_paint                    Clutter_Actor               function    
is_mapped                            Clutter_Actor               function    
is_realized                          Clutter_Actor               function    
is_rotated                           Clutter_Actor               function    
is_scaled                            Clutter_Actor               function    
is_visible                           Clutter_Actor               function    
last_child                           Clutter_Actor               function    
layout_manager                       Clutter_Actor               function    
lower_child                          Clutter_Actor               function    
magnification_filter                 Clutter_Actor               function    
map                                  Clutter_Actor               function    
mapped                               Clutter_Actor               function    
margin_bottom                        Clutter_Actor               function    
margin_left                          Clutter_Actor               function    
margin_right                         Clutter_Actor               function    
margin_top                           Clutter_Actor               function    
min_height                           Clutter_Actor               function    
min_height_set                       Clutter_Actor               function    
min_width                            Clutter_Actor               function    
min_width_set                        Clutter_Actor               function    
minification_filter                  Clutter_Actor               function    
move_by                              Clutter_Actor               function    
name                                 Clutter_Actor               function    
natural_height                       Clutter_Actor               function    
natural_height_set                   Clutter_Actor               function    
natural_width                        Clutter_Actor               function    
natural_width_set                    Clutter_Actor               function    
needs_expand                         Clutter_Actor               function    
offscreen_redirect                   Clutter_Actor               function    
opacity                              Clutter_Actor               function    
paint                                Clutter_Actor               function    
parse_custom_node                    Clutter_Actor               function    
peek_stage_views                     Clutter_Actor               function    
pick                                 Clutter_Actor               function    
pick_box                             Clutter_Actor               function    
pivot_point                          Clutter_Actor               function    
pivot_point_z                        Clutter_Actor               function    
position                             Clutter_Actor               function    
queue_redraw                         Clutter_Actor               function    
queue_redraw_with_clip               Clutter_Actor               function    
queue_relayout                       Clutter_Actor               function    
raise_child                          Clutter_Actor               function    
reactive                             Clutter_Actor               function    
realize                              Clutter_Actor               function    
realized                             Clutter_Actor               function    
remove_action                        Clutter_Actor               function    
remove_action_by_name                Clutter_Actor               function    
remove_actor                         Clutter_Actor               function    
remove_all_children                  Clutter_Actor               function    
remove_all_transitions               Clutter_Actor               function    
remove_child                         Clutter_Actor               function    
remove_clip                          Clutter_Actor               function    
remove_constraint                    Clutter_Actor               function    
remove_constraint_by_name            Clutter_Actor               function    
remove_effect                        Clutter_Actor               function    
remove_effect_by_name                Clutter_Actor               function    
remove_transition                    Clutter_Actor               function    
replace_child                        Clutter_Actor               function    
request_mode                         Clutter_Actor               function    
restore_easing_state                 Clutter_Actor               function    
rotation_angle_x                     Clutter_Actor               function    
rotation_angle_y                     Clutter_Actor               function    
rotation_angle_z                     Clutter_Actor               function    
save_easing_state                    Clutter_Actor               function    
scale_x                              Clutter_Actor               function    
scale_y                              Clutter_Actor               function    
scale_z                              Clutter_Actor               function    
set_allocation                       Clutter_Actor               function    
set_background_color                 Clutter_Actor               function    
set_child_above_sibling              Clutter_Actor               function    
set_child_at_index                   Clutter_Actor               function    
set_child_below_sibling              Clutter_Actor               function    
set_child_transform                  Clutter_Actor               function    
set_clip                             Clutter_Actor               function    
set_clip_to_allocation               Clutter_Actor               function    
set_content                          Clutter_Actor               function    
set_content_gravity                  Clutter_Actor               function    
set_content_repeat                   Clutter_Actor               function    
set_content_scaling_filters          Clutter_Actor               function    
set_custom_property                  Clutter_Actor               function    
set_easing_delay                     Clutter_Actor               function    
set_easing_duration                  Clutter_Actor               function    
set_easing_mode                      Clutter_Actor               function    
set_final_state                      Clutter_Actor               function    
set_fixed_position_set               Clutter_Actor               function    
set_flags                            Clutter_Actor               function    
set_height                           Clutter_Actor               function    
set_id                               Clutter_Actor               function    
set_layout_manager                   Clutter_Actor               function    
set_margin                           Clutter_Actor               function    
set_margin_bottom                    Clutter_Actor               function    
set_margin_left                      Clutter_Actor               function    
set_margin_right                     Clutter_Actor               function    
set_margin_top                       Clutter_Actor               function    
set_name                             Clutter_Actor               function    
set_offscreen_redirect               Clutter_Actor               function    
set_opacity                          Clutter_Actor               function    
set_opacity_override                 Clutter_Actor               function    
set_pivot_point                      Clutter_Actor               function    
set_pivot_point_z                    Clutter_Actor               function    
set_position                         Clutter_Actor               function    
set_reactive                         Clutter_Actor               function    
set_request_mode                     Clutter_Actor               function    
set_rotation_angle                   Clutter_Actor               function    
set_scale                            Clutter_Actor               function    
set_scale_z                          Clutter_Actor               function    
set_size                             Clutter_Actor               function    
set_text_direction                   Clutter_Actor               function    
set_transform                        Clutter_Actor               function    
set_translation                      Clutter_Actor               function    
set_width                            Clutter_Actor               function    
set_x                                Clutter_Actor               function    
set_x_align                          Clutter_Actor               function    
set_x_expand                         Clutter_Actor               function    
set_y                                Clutter_Actor               function    
set_y_align                          Clutter_Actor               function    
set_y_expand                         Clutter_Actor               function    
set_z_position                       Clutter_Actor               function    
should_pick_paint                    Clutter_Actor               function    
show                                 Clutter_Actor               function    
show_on_set_parent                   Clutter_Actor               function    
size                                 Clutter_Actor               function    
sort_depth_order                     Clutter_Actor               function    
text_direction                       Clutter_Actor               function    
toString                             Clutter_Actor               function    
transform_set                        Clutter_Actor               function    
transform_stage_point                Clutter_Actor               function    
translation_x                        Clutter_Actor               function    
translation_y                        Clutter_Actor               function    
translation_z                        Clutter_Actor               function    
uninhibit_culling                    Clutter_Actor               function    
unmap                                Clutter_Actor               function    
unrealize                            Clutter_Actor               function    
unset_flags                          Clutter_Actor               function    
vfunc_hide                           Clutter_Actor               function    
visible                              Clutter_Actor               function    
width                                Clutter_Actor               function    
x                                    Clutter_Actor               function    
x_align                              Clutter_Actor               function    
x_expand                             Clutter_Actor               function    
y                                    Clutter_Actor               function    
y_align                              Clutter_Actor               function    
y_expand                             Clutter_Actor               function    
z_position                           Clutter_Actor               function    
constructor                          GObject_InitiallyUnowned    function    
__metaclass__                        GObject_Object              function    
_construct                           GObject_Object              function    
_init                                GObject_Object              function    
bind_property                        GObject_Object              function    
bind_property_full                   GObject_Object              function    
block_signal_handler                 GObject_Object              function    
connect                              GObject_Object              function    
connect_after                        GObject_Object              function    
constructor                          GObject_Object              function    
disconnect                           GObject_Object              function    
emit                                 GObject_Object              function    
force_floating                       GObject_Object              function    
freeze_notify                        GObject_Object              function    
get_data                             GObject_Object              function    
get_property                         GObject_Object              function    
get_qdata                            GObject_Object              function    
getv                                 GObject_Object              function    
is_floating                          GObject_Object              function    
notify                               GObject_Object              function    
notify_by_pspec                      GObject_Object              function    
ref                                  GObject_Object              function    
ref_sink                             GObject_Object              function    
run_dispose                          GObject_Object              function    
set                                  GObject_Object              function    
set_data                             GObject_Object              function    
set_property                         GObject_Object              function    
steal_data                           GObject_Object              function    
steal_qdata                          GObject_Object              function    
stop_emission_by_name                GObject_Object              function    
thaw_notify                          GObject_Object              function    
toString                             GObject_Object              function    
unblock_signal_handler               GObject_Object              function    
unref                                GObject_Object              function    
watch_closure                        GObject_Object              function    
__defineGetter__                     Object                      function    
__defineSetter__                     Object                      function    
__lookupGetter__                     Object                      function    
__lookupSetter__                     Object                      function    
__proto__                            Object                      object      
constructor                          Object                      function    
hasOwnProperty                       Object                      function    
isPrototypeOf                        Object                      function    
propertyIsEnumerable                 Object                      function    
toLocaleString                       Object                      function    
toString                             Object                      function    
valueOf                              Object                      function   
